CONTROLE DE PROCESSOS (TEMPO MÉDIO NA UNIDADE);;;;;;;;;;;;;
NÚMERO DO PROCESSO (SIPAC/SEI!);DATA DE ENTRADA (RECEBIMENTO OU ABERTURA);RESPONSÁVEL PELO RECEBIMENTO / ABERTURA;LOCAL DE ORIGEM;ASSUNTO DETALHADO (SIPAC / SEI!);DESPACHO / AÇÃO A SER EXECUTADA (RESUMIDO);PROCESSO SOBRESTADO?;MOTIVO DO SOBRESTAMENTO;TEMPO DE SOBRESTAMENTO (DIAS);DATA DE ENCAMINHAMENTO (SAÍDA);RESPONSÁVEL PELO ENCAMINHAMENTO (SAÍDA);DESPACHO / AÇÃO DE ENCAMINHAMENTO (RESUMIDO);LOCAL DE DESTINO;TEMPO DO PROCESSO NO SETOR (DIAS)
23113.012395/2022-39;20/10/2022;Douglas;CAEFI;Aquisição de uma peça (Unit Power Supply RF-Generator) de reposição original do equipamento Espectrômetro de Massa (Modelo: ICAP–Q). Esse aparelho está vinculado ao Programa de Pós-Graduação em Geociências e Análises de Bacias (PGAB) e ao Condomínio de Laboratórios Multiusuários das Geociências (CLGeo);"A análise da Coordenação de Custos e Avaliação Econômico-Financeira (CAEFI) a respeito da compatibilidade do preço ofertado à administração com o praticado pelo mercado está prejudicada pela ausência de parâmetros objetivos, a exemplo de documentos fiscais, instrumentos contratuais ou tabelas de preços vigentes.
O Artigo 7º da Instrução Normativa nº 73, de 5 de agosto de 2020, no entanto, sugere que: §1º Poderão ser utilizados outros critérios ou métodos, desde que devidamente justificados nos autos pelo gestor responsável e aprovados pela autoridade competente.
§2º Excepcionalmente, caso a futura contratada não tenha comercializado o objeto anteriormente, a justificativa de preço de que trata o caput pode ser realizada com objetos de mesma natureza.
A Pró-Reitoria de Planejamento, conforme consta na página 54 do Processo 23113.041593/2021-15, tem entendido que a apresentação de Declaração de Compatibilidade de Preços por parte da empresa ""é suficiente em sua função, uma vez que ela se compromete expressamente de que os preços praticados à UFS são os mesmos praticados"". A Declaração de Razoabilidade de Preços apresentada pela empresa consta a outras organizações na página 10 do processo.
Foi anexada, à página 12, declaração do Prof. Herbet Conceição, Coordenador do PGBA, declarando expressamente que o valor de referência apresentado pela empresa é compatível com o valor de mercado.
Caso a administração queira robustecer a justificativa de preço, sugerimos acionar os demandantes da solução, que detém o conhecimento técnico na área de interesse, para declarar expressamente que não existem alternativas mais vantajosas economicamente para a instituição.
Apresentadas e aceitas as justificativas por parte da administração, faltaria a aprovação formal por parte da autoridade competente.";NÃO;;;20/10/2022;Sérgio;"Em atenção ao despacho presente à página 44, informo que não há possibilidade de alimentação do sistema PGC/PCA 2022 (antigo PAC), tendo em vista que todas as janelas de alterações se deram por encerradas no presente exercício, assim, a presente demanda deverá ser considerada nas exceções da regra, o que está devidamente autorizado pela PROPLAN em relação a esse ponto.

No que tange ao despacho da CAEFI (páginas 45-46), manifestamos concordância e sugerimos atendimento ao último parágrafo do mesmo, que diz:

""Caso a administração queira robustecer a justificativa de preço, sugerimos acionar os demandantes da solução, que detém o conhecimento técnico na área de interesse, para declarar expressamente que não existem alternativas mais vantajosas economicamente para a instituição"".

Por fim, orientamos a alteração do TIPO DO PROCESSO e o preenchimento do ASSUNTO DETALHADO.

Dessa forma, encaminhamos para providências complementares.";DRM;0
23113.044593/2022-07;20/10/2022;Douglas;COPEC;CONVÊNIO: POLYTECH ORLEANS;Para validar instrução processual e encaminhar o acordo de cooperação entre UFS e Polytech Orleans, ao GR, para assinatura.;NÃO;;;20/10/2022;Douglas;Após análise do acordo de cooperação entre a Universidade Federal de Sergipe e a Universidade de Orléans (França), ratifico o presente termo, encaminhado-o para assinatura do Magnífico Reitor e posterior envio à COPEC.;GR;0
 23113.013836/2022-29 	;20/10/2022;Douglas;COPEC;	CONTRATAÇÃO DE EMPRESA TERCEIRIZADA PARA PRESTAÇÃO DE SERVIÇO DE NATUREZA CONTÍNUA NO CARGO DE TRATADOR DE ANIMAIS.;;;;;20/10/2022;Sérgio;"Ao DEACON.

Peço atenção ao despacho da CAEFI (páginas 227-232) e suas comprovações (páginas 233-334), que, resumidamente, informa que:

1. Os orçamentos não atenderam corretamente a questão do detalhamento de UNIFORMES e EPIs, assim, a CAEFI realizou, de forma proativa, pesquisa própria, conforme explicações;

2. O Termo de Referência PRECISA PREVER a quantidade ANUAL de EPIs que deverão ser fornecidos pelas empresas expressamente, o que deve ser objeto de correção. Na consolidação da CAEFI, foi considerado 01 UNIDADE PARA CADA ITEM, caso não seja essa a necessidade, o DEACON deve indicar qual a correta e devolver para refazimento do cálculo do preço estimado, pois isso tem impacto direto.

3. O Termo de Referência está com valor INCORRETO de Vale Alimentação (item 10.5), o que deve ser corrigido.

4. A CAEFI elaborou um orçamento médio com base nas informações acima prestadas (uma unidade de cada EPI, Vale Alimentação de R$ 14,00, pesquisas de uniformes, mediana de lucros), o que gerou um valor estimado de R$ 389.907,72 (trezentos e oitenta e nove mil, novecentos e sete reais e setenta e dois centavos) e o considera satisfatório.

Dessa forma, o DEACON precisa corrigir o TR, conforme citado nos itens 1 e 2 para prosseguimento, deixando claro que caso haja mudança nos quantitativos de EPIs, o processo PRECISA RETORNAR À PROPLAN.

Por fim, informo que o DEACON / INFRAUFS precisa registrar a presente demanda no PGC/PCA 2023 (antigo PAC), pois essa é uma demanda específica, juntando o comprovante ao processo antes do envio ao DRM. A janela de alterações está aberta até 15/11/2022. 

Qualquer dúvida em relação ao lançamento no PGC/PCA, entrar em contato com a Assessoria da PROPLAN por meio do ramal 6591.";DEACON;0
23113.003077/2017-16;20/10/2022;Douglas;CAEFI;MUDANÇA DE CONTRATO DA ENERGISA REF. AO CAMPUS ITABAIANA;PROCESSO FÍSICO;SIM;Para acompanhamento do fiscal Ulysses Brito;;;;;;
23113.045568/2022-66;20/10/2022;Douglas;CAEFI;PREGÂO ELETRÔNICO Nº.: 90/2022 AQUISIÇÃO DE EQUIPAMENTOS HIDRÁULICOS PARA MANUTENÇÃO DAS REDES DE ÁGUA E ESGOTO DOS CAMPIS DA UFS ;"Para manifestação quanto ao PAC (conforme informações do DRM – página 103), após
considerar satisfatório valor de referência, calculado com base na média de preços. Os
valores tiveram por base preços do Painel de Preços e de pesquisa em sites de empresas e
não foi verificada variação superior a 30%, de um preço em relação à média dos dois preços
remanescentes.";NÃO;;;20/10/2022;Sérgio;"Ao DEACON.Em atenção ao despacho presente à página 103, informamos que está aberta JANELA DE ADEQUAÇÕES DO PCA/PGC 2023, onde é possível realizar a inclusão de demandas que não foram incluídas no planejamento realizado de janeiro a abril.Caso a presente demanda não tenha sido prevista, solicito, conforme deliberações anteriores, a alimentação do sistema por parte da INFRAUFS, com criação de DFD, conforme orientações previstas no arquivo em anexo a esse despacho. A comprovação deve ser obrigatoriamente juntada ao processo.Destaco que as demandas específicas de cada área, como é o caso, são alimentadas diretamente pelas UNIDADES SUPERIORES.Qualquer dúvida não hesite em procurar a Assessoria da PROPLAN, ramal 6591.
";DEACON;0
23113.037946/2022-26;20/10/2022;Douglas;CEFISCON;GLOSA DE VALORES EM RAZÃO DO NÃO PAGAMENTO DE VALE TRANSPORTE DE AGOSTO DE 2020 A SETEMBRO DE 2021. CONTRATO 55/2018 ;Segue processo para ciência e posterior envio ao GR para decisão administrativa pelo Magnífico Reitor conforme estabelece o despacho da PGE à pág. 205.;NÃO;;;20/10/2022;Sérgio;"Trata-se de processo que visa a restituição de valores à Universidade Federal de Sergipe em razão do repasse integral da fatura durante os meses de agosto de 2020 a setembro de 2021 sem o consequente pagamento de VALE TRANSPORTE aos colaboradores vinculados ao contrato nº 55/2018, por conta do método de trabalho remoto.Identificada a inconsistência, a CEFISCON procedeu a solicitação dos cálculos à CAEFI que os realizou mediante o despacho às páginas 28-32, culminando na necessidade de ressarcimento de R$ 17.649,19 (dezessete mil, seiscentos e quarenta e nove reais e dezenove centavos).Em 12/09/2022, a CEFISCON encaminhou o Ofício 03/22/C55_18 solicitando manifestação da empresa quanto aos cálculos encaminhados.A empresa, por meio de contestação presente às páginas 39-198, apresentou defesa rebatendo os cálculos da UFS.A CEFISCON encaminhou o processo à PGE que emitiu o PARECER n. 00167/2022/PROC/PFUFS/PGF/AGU convalidando a legalidade dos cálculos e a aplicação da glosa, com a seguinte conclusão:
""Assim, em havendo pagamento indevido realizado com recursos públicos cabe à administração pública como base no princípio da autotutela exercer o controle dos seus atos promovendo a fiscalização e revisão dos mesmos; todavia, observando a ampla defesa e assegurando o contraditório. Face às razões acima, opinamos favoravelmente ao procedimento de glosa/restituição. O processo encontra-se apto à decisão administrativa pelo Magnífico Reitor"".Considerando toda a contextualização, a PROPLAN entende que a contestação da empresa não guarda qualquer relação com a realidade, sendo utilizada apenas como forma de postergar o processo, pois não se utiliza de fatos que minimamente elucidem sua tese, em verdade, a empresa utiliza citações da IN 05/2017 que vão em oposição à sua tese, como o citado no art. 63, § 1º e 2º. No que tange ao quantitativo de postos, a CEFISCON se manifestou à página 202 explicando a confusão nas contas da empresa, sendo que o número de postos para o cálculo se referia à multiplicação do quantitativo de colaboradores pelos meses.
O fato concreto é que o Vale Transporte é um simples repasse da empresa ao seu empregado, sendo custeado pelo órgão público, pois consta como item da Planilha de Formação de Custos, logo a não utilização por parte do empregado não pode ser utilizada como lucro por parte da empresa, devendo haver os descontos correspondentes. Em verdade, os descontos deveriam ocorrer já no momento do pagamento das faturas, contudo, nada impede de que a administração reveja seus atos, prezando pelo interesse público, o que foi realizado pela CEFISCON.Dessa forma, a decisão da PROPLAN é pelo prosseguimento da cobrança, seja por retenção de valores que a empresa tenha a receber, seja pela geração de GRU com prazo de 30 (trinta) dias para cobrança, passível de ajuizamento de ação em caso de não pagamento.Ademais, prezando pelos princípios dos contraditório e ampla defesa e visando oportunizar que a empresa, querendo, apresente novas contestações sobre a decisão, solicito dessa CEFISCON o seguinte:1. Juntada do Ofício 03/22/C55_18 ao presente processo (com confirmação de recebimento);2. Abertura de prazo de 10 (dez) dias corridos para que a empresa, querendo, apresente recurso sobre a presente decisão. O recurso, se cumprido os requisitos, deverá ser julgado pela autoridade máxima do órgão. Solicitamos que a informação da decisão com abertura de prazo para recurso seja acompanhada de cópia integral do presente processo.";CEFISCON;0
23113.046157/2022-71;20/10/2022;Douglas;PGE;REGISTRO DE PREÇO PARA FUTURA E EVENTUAL AQUISIÇÃO DE VEÍCULOS AUTOMOTORES DO TIPO VAN, ADAPTADOS PARA TRANSPORTE DE PESSOAS COM DEFICIÊNCIA;"3. Assim, face a restrição ministerial , somente estariam liberadas as aquisições de veiculos especiais, entendidos como os destinados à segurança pública, segurança nacional, atividades de inteligência, saúde pública, fiscalização, coleta de dados, peculiaridades do Ministério das Relações Exteriores , necessidades dos ex-Presidentes da República e segurança dos familiares do Presidente e do Vice-Presidente da República, conforme definição constante no Dec. 9.287/2018.
4. Face as justificativas apresentadas, entendo não se enquadrar, a solicitação, como aquisição de veiculos especiais. 
5. Por se tratar de solicitação de aquisição para transportes de passageiros a serviço ou em atividades acadêmicas, há que se enquadrar a solicitação como aquisição de veiculos de serviços comuns, apesar das caracteristicas especiais indicadas.
6. Ressalte-se que, exatamente por apresentarem características especiais (adaptados a transporte de cadeirantes e pessoas com dificuldade de locomoção), a solicitação poderá ser enquadrada na exceção prevista no art. 2º da portaria n. 179/2019, com a redação dada pela Portaria n. 5.168/2021, devendo ser objeto de remessa, com as justificativas devidas , para autorização do Ministério da Economia. 
Este, o entendimento s.m.j";;;;20/10/2022;Sérgio;"Em função da necessidade de atendimento ao prazo estipulado no § 1º do art. 2º da Portaria nº 179, de 22 de abril de 2019, tendo em vista o entendimento emanado na NOTA n. 00114/2022/C-PFSE-UFS/PFUFS/PGF/AGU (páginas 33-34), solicito, em caso de concordância do Magnífico Reitor, confecção e encaminhamento da Minuta de Ofício presente à página 35, visando cumprir determinação presente no no art. 2º da Portaria supracitada.

Após juntada da comprovação de envio ao presente processo, gentileza devolvê-lo à PROPLAN para prosseguimento.

Por fim, informo que o arquivo em versão .docx do presente documento será encaminhado ao e-mail desse Gabinete.

Saudações.";DRM;0
23113.037519/2022-12;21/10/2022;Douglas;DRM;PREGÃO ELETRÔNICO Nº.: 69/2022 AQUISIÇÃO DE MATERIAIS DE CONSUMO HOSPITALARES PARA ATENDER A DEMANDA DO CCBS E DFAL - 2022;Para conhecimento do despacho do pregoeiro oficial da UFS, página 264, e a devida manifestação que o caso requer.Despacho presente à pág. 264: (...) Informo que a licitação foi CANCELADA na Fase de Aceitação, conforme seus anexos publicado no D.O.U de 21/10/2022. Solicito que após homologação o processo seja encaminhado para o Departamento de Recursos Materiais (DRM/UFS) que adotará as devidas providências.;;;0;4/11/2022;Wilas;"À CAEFI,
Visando dar prosseguimento à presente contratação, solicito análise dos preços levantados, indicando se há integridade em relação à legislação, especificamente em relação aos arquivos:
1. Planilha de Composição de Preços (páginas 269-271);
2. Orçamentos (páginas 272-293).
Ademais, apontar caso haja qualquer necessidade de intervenção nos efeitos e correlações dos preços com os demais documentos do planejamento da contratação, bem como qualquer necessidade de adequação que seja verificada.
Atenciosamente,
";CAEFI;13
23113.046157/2022-71;21/10/2022;Douglas;GR;REGISTRO DE PREÇO PARA FUTURA E EVENTUAL AQUISIÇÃO DE VEÍCULOS AUTOMOTORES DO TIPO VAN, ADAPTADOS PARA TRANSPORTE DE PESSOAS COM DEFICIÊNCIA.;"De ordem. Ofício assinado.
Este despacho contém um arquivo em anexo.";;;0;21/10/2022;Sérgio;"Visando dar prosseguimento à presente contratação, solicito análise dos preços levantados, indicando se há integridade em relação à legislação, especificamente em relação aos arquivos:

1. Planilha de Composição de Preços (páginas 18-20);
2. Orçamentos (páginas 21-24).

Ademais, apontar caso haja qualquer necessidade de intervenção nos efeitos e correlações dos preços com os demais documentos do planejamento da contratação, bem como qualquer necessidade de adequação que seja verificada.";CAEFI;0
23113.006495/2022-65;21/10/2022;Douglas;;AQUISIÇÃO DE MATERIAIS PARA VIABILIZAÇÃO DE PROGRAMA DE TESTAGEM DE CORONAVÍRUS NA UNIVERSIDADE FEDERAL DE SERGIPE.;Por solicitação.;NÃO;;0;21/10/2022;Sérgio;"Em que pese o pedido dessa Pró-Reitoria à página 848, que indicava a necessidade de 2.000 (duas mil) seringas para cumprir acordo de empréstimo com o HUL, conforme ofício à página 849, fomos surpreendidos com a informação que o material foi entregue e utilizado pelo CCBS / DFA (Professor Lysandro), o que foge inteiramente do objeto proposto para a solicitação anterior, inclusive após a manifestação do mesmo à página 851.

Dessa forma, visando, novamente, cumprir com o acordo formalizado, solicito gentilmente dessa PROAD:

1. Empenho de 2.000 (duas mil) seringas.

2. Encaminhamento ao DRM/DIMAT com a devida observação de que esse quantitativo será de responsabilidade da PROPLAN, para o objeto acima detalhado.";PROAD;0
"23113.043507/2022-35
";21/10/2022;Douglas;COPEC;PERMISSÃO DE USO DOS ESPAÇOS DA UFS PELO CEBRASPE, PARA APLICAÇÃO DO ENADE 2022.;Considerando a manifestação da PROGRAD (pg. 31) e Parecer da PGE (pgs. 39 a 40), seguem os autos para análise quanto ao envio ao Gabinete do Reitor para assinatura do Contrato de Permissão de Uso, que viabilizará a aplicação de provas do ENADE 2022.;NÃO;;;21/10/2022;Douglas;Após análise do Contrato de Permissão de Uso, que tem o intuito de viabilizar a aplicação de provas do ENADE 2022, ratifico a presente instrução processual, encaminhando o contrato para assinatura do Magnífico Reitor e posterior envio à COPEC.;GR;0
23113.017278/2022-21;21/10/2022;Douglas;CAEFI;LICITAÇÃO PARA AQUISIÇÃO DE GERADORES PARA A TV E RÁDIO UFS.;"Para manifestação em relação ao PAC, conforme solicitado pelo DRM. Após análise da pesquisa de preços apresentada pela equipe da Diretoria de Editoração, Comunicação Institucional e Produção Audiovisual (DECAV), consideramos satisfatórios os valores de referência apresentados para os geradores à diesel, cujos preços de base estão dentro dos parâmetros estabelecidos pela legislação vigente (não apresentaram variações maiores que 30% em relação à média calculada com os demais valores).
Detalhamento -- Estimativa do Valor da Contratação (R$): 168.323,77. Qnt. Itens: 02.";NÃO;;0;21/10/2022;Sérgio;"Em atenção ao disposto no despacho à página 307 e após manifestação de integridade por parte da CAEFI, destacamos que a previsão orçamentária continua vigente, conforme declaração emitida à página 159, tendo em vista que a mesma é superior ao novo valor calculado.
No que tange ao PCA/PGC 2022, informamos que não há possibilidade de alteração, considerando que todas as janelas de adequações já foram encerradas para esse exercício, sendo assim, autorizamos o prosseguimento da forma prevista no documento à página 121.";DRM;0
23113.046157/2022-71;21/10/2022;Douglas;CAEFI;REGISTRO DE PREÇO PARA FUTURA E EVENTUAL AQUISIÇÃO DE VEÍCULOS AUTOMOTORES DO TIPO VAN, ADAPTADOS PARA TRANSPORTE DE PESSOAS COM DEFICIÊNCIA.;Após considerar satisfatório o valor de referência, calculado com base na média de valores coletados no Painel de Preços.;NÃO;;0;21/10/2022;Sérgio;"Encaminho o presente processo para análise, conclusão da fase interna e prosseguimento da fase externa da licitação, por meio de PREGÃO ELETRÔNICO VIA SISTEMA DE REGISTRO DE PREÇOS, justificada sua utilização com base nos incisos II e IV do art. 3º do Decreto nº 7.892/2013.
Destacamos que:
1. A fase de Planejamento da Contratação contempla todos os itens obrigatórios (DFD, Estudo Técnico Preliminar da Contratação, Análise de Riscos, Termo de Referência e Pesquisa de Preços) e foram elaboradas pelo solicitante, que se responsabilizam sobre seu conteúdo.
2. A CAEFI se manifestou sobre a pesquisa de preços (página 41) indicando sua integridade.
3. Tendo em vista que essa é uma demanda prevista para 2022, não há possibilidade de cadastramento da demanda no PCA/PGC 2022, considerando que todas as janelas de adequações já foram encerradas para esse exercício, sendo assim, autorizamos o prosseguimento NA EXCEÇÃO DA REGRA.
4. Há necessidade de formalização de contrato administrativo, a considerar o vulto da aquisição e as obrigações futuras, o que deve ser submetido à COPEC para inclusão de minuta.
5. Por se tratar de processo via SRP, não há necessidade premente de indicação de disponibilidade orçamentária.";DRM;0
23113.045362/2022-02;21/10/2022;Douglas;DRM;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DOS SERVIÇOS DE CONSERTO, REVISÃO, LIMPEZA E LUBRIFICAÇÃO DE EQUIPAMENTOS FOTOGRÁFICOS, COM FORNECIMENTO DE MATERIAIS, PEÇAS E COMPONENTES A FIM DE DEIXAR O EQUIPAMENTO EM CONDIÇÕES ORIGINAIS DE USO.;"Com o despacho: Senhor Pró-Reitor de Planejamento,
Conforme determina a legislação em vigor, a licitação é dispensável quando em situações de emergência a exemplos de casos de guerra; grave perturbação da ordem; calamidade pública, obras para evitar desabamentos, quebras de barreiras, fornecimento de energia.
Em análise ao processo em questão, o objeto a ser adquirido não se encontra em nenhuma das hipóteses prevista acima. (...)
(...) Os termos do Estudo Técnico Preliminar, incluso neste processo, tem direcionamento para se licitar, o qual concordamos pela exposição dos motivos acima.
Assim, é necessário a análise da pesquisa de preços pela CAEFI, com base no orçamento apresentado, bem como nas justificativas do setor demandante com relação a dificuldade de encontrar mais orçamento para atender INSTRUÇÃO NORMATIVA Nº 73, DE 5 DE AGOSTO DE 2020 e posterior manifestação com relação ao PGC, afim de que possamos dar inicio ao processo de compras.

Detalhamento -- Estimativa do Valor da Contratação (R$): 5.344,00. Qnt. Itens: 02.";;;0;21/10/2022;Sérgio;"Visando dar prosseguimento à presente contratação, solicito análise dos preços levantados, com verificação de integridade frente à legislação vigente, especificamente em relação aos arquivos:
1. Planilha de Composição de Preços (páginas 9-13);
2. Orçamentos (páginas 14-22);
3. Justificativas (página 23).
Ademais, apontar caso haja qualquer necessidade de intervenção nos efeitos e correlações dos preços com os demais documentos do planejamento da contratação, bem como qualquer necessidade de adequação que seja verificada.";CAEFI;0
23113.041538/2021-45;21/10/2022;Douglas;COPEC;"PROJETO DE DESENVOLVIMENTO DO ""CENTRO COLABORADOR EM ALIMENTAÇÃO E NUTRIÇÃO ESCOLAR – CECANE/UFS"" VIABILIZADO POR MEIO DE TED FIRMADO COM O FNDE COM POSTERIOR CONTRATAÇÃO DA FAPESE PARA APOIO À SUA EXECUÇÃO.";Para validar instrução processual e encaminhar o 2º termo de apostila ao contrato 75/2021, ao GR, para assinatura.;NÃO;;0;21/10/2022;Douglas;Após apreciação do 2º termo de apostila ao contrato 75/2021-UFS, celebrado entre a Universidade Federal de Sergipe (UFS) e a Fundação de Apoio à Pesquisa e Extensão de Sergipe (FAPESE), referente à execução do Projeto “Centro Colaborador em Alimentação e Nutrição Escolar (CECANE/UFS), ratifico a presente instrução processual, encaminhando o termo para assinatura do Magnífico Reitor e posterior envio à COPEC.;GR;0
23113.044777/2022-83;24/10/2022;Eloisa;STI;AQUISIÇÃO DE ESTAÇÕES DE TRABALHO - DESKTOP;"Encaminho processo de Adesão de DESKTOPS para continuidade dos trâmites pertinentes. 
";NÃO;;0;24/10/2022;Sérgio;encaminho o presente processo para avaliação e indicação de integridade na instrução processual, visando continuidade de ADESÃO POR CARONA.;DRM;0
23113.045362/2022-02;24/10/2022;Eloisa;CAEFI;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DOS SERVIÇOS DE CONSERTO, REVISÃO, LIMPEZA E LUBRIFICAÇÃO DE EQUIPAMENTOS FOTOGRÁFICOS, COM FORNECIMENTO DE MATERIAIS, PEÇAS E COMPONENTES A FIM DE DEIXAR O EQUIPAMENTO EM CONDIÇÕES ORIGINAIS DE USO;"Após dos orçamentos anexados e das justificativas apresentadas pelo DECAV, fazemos as seguintes
observações:";NÃO;;0;24/10/2022;Sérgio;Solicito análise e manifestação quanto ao despacho da CAEFI (páginas 28-29) e suas comprovações (páginas 30-60), esclarecendo, inclusive, os pontos suscitados.;DECAV;0
23113.047018/2022-07;24/10/2022;Eloisa;STI;AQUISIÇÃO DE NOTEBOOK PARA O STI E O INGLÊS SEM FRONTEIRAS;Encaminho processo solicitando emissão de Portaria de Equipe de Planejamento da Contratação para  aquisição de Notebooks para o STI em conjunto com o Inglês Sem Fronteiras.;NÃO;;0;24/10/2022;Eloisa;"Após juntada da Portaria de formalização da Equipe de Planejamento da Contratação, devolvo processo para continuidade da instrução processual, com a juntada dos demais documentos de planejamento da contratação.
Aprova-se a continuidade do pleito, considerando a comprovada relevância da demanda para alcance dos objetivos institucionais da Universidade Federal de Sergipe, sobretudo no seu quesito de expansão da infraestrutura de TIC ";STI;
23113.046157/2022-71;24/10/2022;Eloisa;DRM;REGISTRO DE PREÇO PARA FUTURA E EVENTUAL AQUISIÇÃO DE VEÍCULOS AUTOMOTORES DO TIPO VAN, ADAPTADOS PARA TRANSPORTE DE PESSOAS COM DEFICIÊNCIA;Solicitando a gentileza de definir o quantitativo a ser licitando, tendo em vista que existem divergências entre os documentos;NÃO;;0;24/10/2022;Sérgio;Após esclarecimento dos questionamentos, devolvo para conhecimento e encaminhamento ao DEACON para as adequações necessárias no DFD.;DRM;0
23113.044777/2022-83 	;24/10/2022;Eloisa;CAEFI;AQUISIÇÃO DE ESTAÇÕES DE TRABALHO - DESKTOP;Após verificar a vantajosidade na adesão à Ata 20/2021, em comparação aos demais valores pesquisados.;NÃO;;0;24/10/2022;Sérgio;Encaminho o presente processo para avaliação e indicação de integridade na instrução processual, visando continuidade de ADESÃO POR CARONA.;DRM;0
23113.021016/2021-75;25/10/2022;Eloisa;COPEC;OFÍCIO Nº 2/2021/NICT-SE/SUEST-SE-FUNASA TRANSFERÊNCIA DE EXECUÇÃO DESCENTRALIZADA (TED) JUNTO À FUNASA;"Para validação da instrução processual e posterior envio ao Gabinete do Reitor para assinatura do 2º termo aditivo ao
contrato 12/2022 UFS - FAPESE.";NÃO;;0;25/10/2022;Eloisa;Após análise encaminho o presente processo para assinatura do Magnífico Reitor no 2º termo aditivo ao contrato 12/2022 UFS - FAPESE e posterior devolução à COPEC.;GR;0
