CONTROLE DE PROCESSOS (TEMPO MÉDIO NA UNIDADE);;;;;;;;;;;;;
;;;;;;;;;;;;;
NÚMERO DO PROCESSO (SIPAC/SEI!);DATA DE ENTRADA (RECEBIMENTO OU ABERTURA);RESPONSÁVEL PELO RECEBIMENTO / ABERTURA;LOCAL DE ORIGEM;ASSUNTO DETALHADO (SIPAC / SEI!);DESPACHO / AÇÃO A SER EXECUTADA (RESUMIDO);PROCESSO SOBRESTADO?;MOTIVO DO SOBRESTAMENTO;TEMPO DE SOBRESTAMENTO (DIAS);DATA DE ENCAMINHAMENTO (SAÍDA);RESPONSÁVEL PELO ENCAMINHAMENTO (SAÍDA);DESPACHO / AÇÃO DE ENCAMINHAMENTO (RESUMIDO);LOCAL DE DESTINO;TEMPO DO PROCESSO NO SETOR (DIAS)
23113.038546/2022-25;19/9/2022;Eloisa;DECAV;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE PLANEJAMENTO, ORGANIZAÇÃO, COORDENAÇÃO E EXECUÇÃO DOS EVENTOS REALIZADOS PELA UFS.;Após inclusão do documento solicitado.;NÃO;;0;19/9/2022;Sérgio;"Encaminho para continuidade dos trâmites visando viabilizar pregão eletrônico pelo Sistema de REGISTRO DE PREÇOS para o objeto em questão.
";GR;0
23113.041876/2022-34;20/9/2022;Eloisa;STI;CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO DO DATACENTER DA UFS;"para emissão de portaria da equipe de planejamento da contratação de ""Serviços de manutenção de Datacenter da UFS"".";NÃO;;0;20/9/2022;Eloisa;"Após juntada da Portaria de formalização da Equipe de Planejamento da Contratação, devolvo processo para continuidade da instrução processual, com a juntada dos demais documentos de planejamento da contratação.
Aprova-se a continuidade do pleito, considerando a comprovada relevância da demanda para alcance dos objetivos institucionais da Universidade Federal de Sergipe, sobretudo no seu quesito de manutenção da infraestrutura de TIC. ";STI;0
23113.033992/2022-84;20/9/2022;Eloisa;COPEC;RENOVAÇÃO DE TERMO DE COOPERAÇÃO TÉCNICA;Para encaminhar pra assinatura do Reitor.;NÃO;;0;20/9/2022;Eloisa;Encaminho o presente processo para assinatura do Magnífico Reitor no Termo de Cooperação Técnica e posterior envio à COPEC. ;GR;0
23113.028532/2022-64;20/9/2022;Eloisa;COPEC;TERMO DE COOPERAÇÃO ENTRE A UFS E A AGÊNCIA REGULADORA DE SERVIÇOS PÚBLICOS DO ESTADO DE SERGIPE- AGRESE, COM FINS DE PROMOÇÃO DE AÇÕES CONJUNTAS DE ENSINO, PESQUISA E EXTENSÃO.;Após o parecer favorável da PGE, seguem os autos para análise quanto ao envio ao Gabinete do Reitor para assinatura do Termo de Cooperação a ser celebrado entre a UFS e a Agência Reguladora de Serviços Públicos do Estado de Sergipe – AGRESE.;NÃO;;0;20/9/2022;Eloisa;"Encaminho o presente processo para assinatura do Reitor e posterior devolução à COPEC. 
";GR;0
23113.036989/2022-63;20/9/2022;Eloisa;COPEC;CONVÊNIO ENTRE A UFS E A FUNDAÇÃO DE SAÚDE PARREIRAS HORTA-FSPH, PARA FINS DE CONCESSÃO DE ESTÁGIO CURRICULAR.;Considerando manifestação de interesse da DIEB/PROEX e parecer favorável da PGE, seguem os autos para análise quanto ao envio ao Gabinete do Reitor para assinatura do Termo de Convênio de Estágio a ser celebrado com a Fundação de Saúde Parreiras Horta.;NÃO;;0;20/9/2022;Eloisa;"Encaminho o presente processo para assinatura do Reitor e posterior devolução à COPEC. 
";GR;0
23113.020676/2022-37;21/9/2022;Eloisa;CAEFI;AQUISIÇÃO DE SISTEMAS FOTOVOLTAICOS PARA AS DIDÁTICAS I, II, III E IV DO CAMPUS SÃO CRISTÓVÃO DA UNIVERSIDADE FEDERAL DE SERGIPE – UFS.;"Após nova análise, considerando a IN 73/2020/SEGES e os documentos juntados aos autos,
nota-se que o preço 3 (tabela 01 em anexo) apresentou variação maior que 30% em comparação à média
dos demais.";NÃO;;0;21/9/2022;Sérgio;"Dessa forma, solicito nova análise dos preços levantados, especificamente em relação aos arquivos:  
1. Orçamentos (págs. 141-159); e  
2. Planilha de Composição de Preços (págs. 161-163). ";CAEFI;0
23113.037110/2021-97;21/9/2022;Eloisa;PGE;REFORMA PARA MANUTENÇÃO, REPAROS GERAIS E ACESSIBILIDADE DA ESTAÇÃO UFS - UNIVERSIDADE FEDERAL DE SERGIPE.;Para ciência e encaminhamentos necessários.;SIM;Aguardando definições acerca da continuidade da contratação, considerando o processo de desocupação.;3;26/9/2022;Sérgio;Considerando prévia interação e após discussões sobre os encaminhamentos possíveis ao tema, encaminho para apreciação e, em caso de concordância, confecção, a minuta de ofício que trata de informação à empresa AMT ENGENHARIA, vencedora da Concorrência nº 003/2022, a fim de cientificá-la da situação do certame.;GR;2
23113.036499/2022-04;21/9/2022;Eloisa;DEACON;SOLICITAÇÃO DOS DOCUMENTOS: CERTIFICADO DE LIMPEZA DE CAIXA D'ÁGUA E DECLARAÇÃO DO CORPO DE BOMBEIRO.;"Informo que o abastecimento de água do Campus São Cristovão é realizado através da DESO e essa água é recebida no reservatório central e daí distribuída pros diversos prédios da UFS.
Informo que a limpeza dos reservatórios é feita de forma frequente pela equipe da DIMP - Divisão de Manutenção Patrimonial, inclusive já existe uma programação para ser realizado esse serviço no próximo recesso acadêmico a começar no início do mês de dezembro";SIM;;3;26/9/2022;Eloisa;Arquivado.;PROPLAN;2
23113.036215/2022-09;21/9/2022;Eloisa;DECAV; LICITAÇÃO PARA AQUISIÇÃO DE EQUIPAMENTOS NECESSÁRIOS À TRANSMISSÃO DA PROGRAMAÇÃO LOCAL DA TV UFS;Conforme solicitado, reenviamos os documentos com as alterações solicitadas, além das justificativas abaixo. ;NÃO;;0;22/9/2022;Sérgio;"oriento que:
1. Seja verificada a possibilidade de juntada dos orçamentos com as informações de data e hora de acesso ou 2. Em caso de impossibilidade devido ao hiato decorrido, atestar, com a fé pública de servidor, a data e hora estimadas que foram pesquisados os mesmos.
Após saneamento das pendências, devolver a PROPLAN para prosseguimento.";DECAV;1
23113.006945/2022-40 ;21/9/2022;Eloisa;DOFIS;SELEÇÃO DE PROJETOS (DEMANDAS) PARA A CONTRATAÇÃO DE OBRAS EM 2023. EDITAL 01/2022/DOFIS.;Envio anexo relação, cronograma e estimativas de custos dos projetos em elaboração, selecionados a partir das demandas submetidas ao Edital 01/2022 DOFIS, para análise e demais providências.;NÃO;;0;22/9/2022;Sérgio ;"informo que a PROPLAN realizou a alocação do valor previsto no PCA 2023, conforme comprovante à página 54.
Dessa forma, devolvemos para que a listagem seja cadastrada no PAC 2023 (antigo PAC), com a inclusão dos DFD's equivalentes a cada um.";DOFIS;1
23113.024374/2022-04;21/9/2022;Eloisa;DOFIS;REFORMA COM RECUPERAÇÃO ESTRUTURAL NA DIDÁTICA II;"Cadastro da obra efetuado conforme despacho supra da DICOF.
Solicito manifestação quanto aos questionamentos no despacho supra da DICOF para complementar o cadastro da obra.";NÃO;;0;21/9/2022;Sérgio ;"Informo que foi criado o PI MSS25G43ID9.
Encaminho para providências, conforme solicitado no despacho à página 498.";COGEPRO;0
23113.041020/2022-60;22/9/2022;Eloisa;COPEC;"CONVÊNIO DE COOPERAÇÃO ENTRE A UFS, NUTRIVET E A FAPESE PARA EXECUÇÃO DO PROJETO ""COMPARATIVO TRICINOPHÓS E OUTRAS FONTES LIBERADORAS DE FÓSFORO EM DIETAS DE FRANGOS DE CORTE”.";"
Encaminhamos os autos para análise processual e posterior encaminhamento para assinatura do Termo de Convênio pelo Magnífico Reitor, a qual está sendo encaminhada por e-mail.";NÃO;;0;22/9/2022;Eloisa;"Após análise, encaminho o presente processo para assinatura do Magnífico Reitor e posterior devolução à COPEC.
De acordo com o despacho da DIVAP, o Termo de Convênio para assinatura foi encaminhado via e-mail. ";GR;0
23113.020676/2022-37;22/9/2022;Eloisa;CAEFI;AQUISIÇÃO DE SISTEMAS FOTOVOLTAICOS PARA AS DIDÁTICAS I, II, III E IV DO CAMPUS SÃO CRISTÓVÃO DA UNIVERSIDADE FEDERAL DE SERGIPE – UFS.;Consideramos satisfatório o valor estimado e a metodologia utilizada.;NÃO;;0;23/9/2022;Douglas;"Encaminho a presente instrução processual, após manifestação da CAEFI, para continuidade dos trâmites da fases internas e externas do processo licitatório, visando operar licitação por REGISTRO DE PREÇOS, justificado através dos Incisos II e IV do Decreto nº 7.892/2013.
A presente demanda está de acordo com os objetivos institucionais da UFS e visa reduzir a despesa com o consumo de energia elétrica, onde a economia se dará com a geração de energia para autoconsumo combinada com o sistema de compensação de créditos.
A aquisição vai ao encontro do planejado no Plano Anual de Compras da UFS estando, dessa forma, devidamente autorizada pela Pró-Reitoria de Planejamento.";DRM;1
23113.035937/2022-46;22/9/2022;Eloisa;CAEFI;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS ESPECIALIZADOS EM DESPACHO ADUANEIRO, BEM COMO O DESEMBARAÇO ALFANDEGÁRIO DOS ITENS IMPORTADOS PELA UFS.;"Seguem os autos para manifestação com relação ao PAC e demais encaminhamentos, consoante
sugestão do DRM no despacho à página 150.";NÃO;;0;22/9/2022;Sérgio ;Após manifestação da CAEFI sobre os preços levantados e em atenção ao disposto no despacho desse Departamento, página 151, questiono se a presente licitação tem previsão de execução (empenho da despesa) no exercício de 2022.;DRM;0
23113.029854/2021-69;22/9/2022;Eloisa;CAEFI;LICITAÇÃO PARA MIGRAÇÃO DO PORTAL DE PERIÓDICOS;"Seguem os autos para manifestação com relação ao PAC e demais encaminhamentos, consoante
sugestão do DRM no despacho à página 501.";NÃO;;0;22/9/2022;Sérgio ;Após manifestação da CAEFI sobre os preços levantados e em atenção ao disposto no despacho desse Departamento, página 501, informo que já existe previsão no PAC 2022 para a presente despesa, conforme página 134, contudo, em valor previsto inferior àquele atualizado. Dessa forma, questiono se a presente licitação tem previsão de execução (empenho da despesa) no exercício de 2022.;DRM;0
23113.030410/2022-89;22/9/2022;Eloisa;COPEC;TERMO DE PERMISSÃO DE USO ENTRE A UFS E O CEBRASPE, PARA FINS DE APLICAÇÃO DE PROVAS DO CONCURSO DA PREFEITURA MUNICIPAL DE SÃO CRISTÓVÃO/SE.;Para análise acerca do envio ao Reitor, objetivando a assinatura. ;NÃO;;0;22/9/2022;Eloisa;Encaminho o presente processo para assinatura do Magnífico Reitor e posterior devolução à COPEC. ;GR;0
23113.042449/2022-83;22/9/2022;Eloisa;INFRAUFS;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO E INSTALAÇÃO DE CONDESADORAS LG TIPO VRF NAS DIDATICAS DO CAMPUS SAO CRISTOVAO DA UFS;Para análise e providências.;NÃO;;0;22/9/2022;Sérgio ;Em atenção à presente solicitação e em análise do escopo da demanda e sua pertinência e necessidade, autorizamos o prosseguimento do planejamento da contratação, com a inclusão dos demais itens necessários, ETP, TR, PCP e pesquisa de preços (orçamentos), tendo em vista que ficou devidamente demonstrada a necessidade e por estar em alinhamento com o planejamento estratégico da UFS, em especial ao quesito de manutenção da infraestrutura básica.;DEACON;0
23113.027710/2022-45;23/9/2022;Eloisa;COPEC;PELO PRESENTE PROTOCOLO ESTABELECEM-SE AS BASES PARA A COOPERAÇÃO ENTRE A UAB, ATRAVÉS DO CENTRO DE ESTUDOS GLOBAIS (CEG) E DO PROGRAMA DE DOUTORAMENTO EM ESTUDOS GLOBAIS (DEG), E A UFS, ATRAVÉS DA CÁTEDRA MARQUÊS DE POMBAL, EM MATÉRIA DE PESQUISA, EDIÇÃO CIENTÍFICA DE TRABALHOS, REALIZAÇÃO DE EVENTOS E INTERCÂMBIO PEDAGÓGICO.;Para encaminhar para assinatura do Reitor. ;NÃO;;0;23/9/2022;Eloisa;Para assinatura do Reitor e posterior envio à COPEC.;GR;0
23113.037630/2022-22;23/9/2022;Eloisa;COPEC;CONVÊNIO ENTRE A UFS E A FANESE COM FINS DE REGISTRO DE DIPLOMAS.;Para encaminhar para assinatura do Reitor. ;NÃO;;0;23/9/2022;Eloisa;Para assinatura do Reitor e posterior envio à COPEC.;GR;0
23113.041953/2022-89;23/9/2022;Eloisa;COPEC;CONVÊNIO ENTRE A UFS E A SELETA TERCEIRIZAÇÃO DE MÃO DE OBRA LTDA-ME, COM FINS DE OPERACIONALIZAÇÃO DE PROGRAMAS DE ESTÁGIO CURRICULAR PARA ALUNOS DA UFS.;Após o parecer favorável da PGE, seguem os autos para análise quanto ao envio ao Gabinete do Reitor, para assinatura do Convênio de estágio a ser celebrado com o Agente de Integração Seleta Terceirização de Mão de Obra Ltda-Me.;NÃO;;0;23/9/2022;Eloisa;Para assinatura do Reitor e posterior envio à COPEC.;GR;0
23113.036215/2022-09;23/9/2022;Eloisa;DECAV;LICITAÇÃO PARA AQUISIÇÃO DE EQUIPAMENTOS NECESSÁRIOS À TRANSMISSÃO DA PROGRAMAÇÃO LOCAL DA TV UFS;Após as devidas correções.;NÃO;;0;23/9/2022;Eloisa;Para assinatura do Reitor e posterior envio à COPEC.;GR;0
23113.037602/2022-02;23/9/2022;Eloisa;COPEC;CONTRATO DE DOAÇÃO A SER CELEBRADO ENTRE O INSTITUTO BANESE E A UNIVERSIDADE FEDERAL DE SERGIPE VISANDO A CONCESSÃO DE AUXÍLIO PARA A REALIZAÇÃO DE PREMIAÇÃO NO 32º ENCONTRO DE INICIAÇÃO CIENTÍFICA (EIC).;Considerando manifestação de interesse da COPES/POSGRAP e parecer favorável da PGE, seguem os autos para análise quanto ao envio ao Gabinete do Reitor para assinatura do Termo de Cooperação a ser celebrado com o Instituto Banese.;NÃO;;0;23/9/2022;Eloisa;Para assinatura do Reitor e posterior envio à COPEC.;GR;0
23113.028648/2021-39;26/9/2022;Eloisa;COPEC;LICITAÇÃO PARA AQUISIÇÃO DE MATERIAL DE VIDEOCONFERÊNCIA;Encaminhar para assinatura do Reitor.;NÃO;;0;26/9/2022;Eloisa;Para assinatura do Reitor e posterior envio à COPEC.;GR;0
23113.001941/2021-30;26/9/2022;Eloisa;COPEC;PROTOCOLO DE COOPERAÇÃO A SER CELEBRADO ENTRE A UFS E O CAMÕES - INSTITUTO DA COOPERAÇÃO E DA LÍNGUA - I. P. (CAMÕES, I. P.) COM VISTA AO DESENVOLVIMENTO DA INVESTIGAÇÃO NA ÁREA DE ESTUDOS POMBALINOS, NO ÂMBITO DO SÉCULO DAS LUZES, MEDIANTE A CRIAÇÃO DA CÁTEDRA MARQUÊS DE POMBAL NA UNIVERSIDADE FEDERAL DE SERGIPE.;Encaminhar para assinatura do Reitor.;NÃO;;0;26/9/2022;Eloisa;Para assinatura do Magnífico Reitor no 1º Termo Aditivo do Contrato nº 20/2022-UFS, e posterior devolução à COPEC.;GR;0
23113.036215/2022-09;26/9/2022;Eloisa;COGEPRO;LICITAÇÃO PARA AQUISIÇÃO DE EQUIPAMENTOS NECESSÁRIOS À TRANSMISSÃO DA PROGRAMAÇÃO LOCAL DA TV UFS;Após declaração de disponibilidade orçamentária e registro de controle.;NÃO;;0;26/9/2022;Sérgio ;Encaminho o presente processo após manifestação da CAEFI. No que tange ao PAC 2022, informo que não será possível sua inclusão. Por fim, destaco que a presente aquisição está planejada para ocorrer ainda em 2022;CAEFI;0
23113.012558/2022-03;26/9/2022;Eloisa;COPEC;CONTRATO DE PESQUISA A SER CELEBRADO PELA FUNDAÇÃO BUTANTAN, INSTITUTO BUTANTAN, UNIVERSIDADE FEDERAL DE SERGIPE - UFS E FUNDAÇÃO DE APOIO À PESQUISA E EXTENSÃO DE SERGIPE - FAPESE OBJETIVANDO A REALIZAÇÃO DO ESTUDO CLÍNICO VLA1553-321 – “UM ESTUDO PIVÔ MULTICÊNTRICO, RANDOMIZADO, CONTROLADO, DUPLO-CEGO PARA AVALIAR A SEGURANÇA E IMUNOGENICIDADE DE UMA VACINA CANDIDATA (VLA1553) VIVA ATENUADA DE VÍRUS CHIKUNGUNYA EM ADOLESCENTES ENTRE 12 E <18 ANOS;Encaminhar para assinatura do Reitor.;NÃO;;0;26/9/2022;Eloisa;Para assinatura do Reitor e posterior envio à COPEC.;GR;0
23113.042449/2022-83;26/9/2022;Eloisa;DEACON;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO E INSTALAÇÃO DE CONDESADORAS LG TIPO VRF NAS DIDATICAS DO CAMPUS SAO CRISTOVAO DA UFS;Para providências após anexado o DFD com as alterações solicitadas;NÃO;;0;26/9/2022;Sérgio ;Oriento a condução via Sistema de Registro de Preços, justificado pelo Inciso I do art. 3º do Decreto nº 7.892/2013, pois, logisticamente, pode haver a necessidade de contratações frequentes, o que é melhor gerenciável, além de oportunizar a participação de outros órgãos sergipanos, o que, se ocorrer, se justifica pelo Inciso III dos citados arts. e Decreto.;DEACON;0
23113.031913/2022-54 ;27/9/2022;Eloisa;DOFIS;PROCEDIMENTO REFERENTE A UMA POSSÍVEL APLICAÇÃO DE PENALIDADES CONTRA A EMPRESA CSX CONSTRUÇÕES LTDA. PELA NÃO EXECUÇÃO DO CONTRATO Nº 070/2021-UFS;Encaminho manifestação da DICOF em despacho supra para conhecimento e demais encaminhamentos.;NÃO;;0;27/9/2022;Eloisa;"
Indicamos manifestação da DOFIS na folha 139, sobre a dúvida suscitada por esta procuradoria, e demais providências. ";PGE;0
23113.037110/2021-97;28/9/2022;Eloisa;DOFIS;REFORMA PARA MANUTENÇÃO, REPAROS GERAIS E ACESSIBILIDADE DA ESTAÇÃO UFS - UNIVERSIDADE FEDERAL DE SERGIPE.;para providências quanto ao envio do Ofício em anexo, assinado pelo Magnífico Reitor.;NÃO;;0;29/9/2022;Sérgio;Informo que, conforme Ofício assinado pelo Magnífico Reitor, página 3930, e e-mail enviado à empresa vencedora da Concorrência Pública nº 003/2022, página 3929, não será possível a pactuação de termo de contrato para esse objeto, conforme motivos expostos no processo.;DOFIS;1
23113.040821/2022-98;29/9/2022;Eloisa;DEACON;ADESÃO A ATA DE REGISTRO DE PREÇO PARA AQUISIÇÃO DE TELEVISOR DE 75 POL;"informo que iremos aguardar então o desfecho do processo licitatório citado, reiterando a cessão de 03 (unidades) dos televisores de 50"",  para a INFRAUFS, com o objetivo constante na formalização da demanda";NÃO;;0;29/9/2022;Sérgio;Manifesto ciência quanto ao despacho à página 255 e indico que, assim que disponíveis para aquisição, realizaremos a alocação.;DEACON;0
23113.042166/2019-40;29/9/2022;Eloisa;PROAD;CONSTRUÇÃO DO COMPLEXO: VIVÊNCIA, ADMINISTRATIVO, BIBLIOTECA E RESTAURANTE - 3ª ETAPA DO CAMPUS DO SERTÃO - FAZENDA EXPERIMENTAL - N. SRA. DA GLÓRIA;Para informar Fonte e PTRES visando a emissão de nota de empenho para cobertura do 7º TERMO ADITIVO ao Contrato nº 066/2019-UFS.;NÃO;;0;29/9/2022;Sérgio ;a PROPLAN informa que a NE 449, emitida em 16/08/2022, no valor de R$ 784.964,47 (setencentos e oitenta e quatro mil, novecentos e sessenta e quatro reais e quarenta e sete centavos), emitida a pedido dessa PROPLAN, comporta os acréscimos oriundos de reajuste ora pactuados.;PROAD;0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;TEMPO MÉDIO;0
